TRX_TAG	TRANSFER/GR CODE	STOCK_CODE	BOX_ITEM_CODE	BOX_ITEM_DESC	PACKAGING	QTY	CONVF	TOTAL_PCS	TOTAL_AMOUNT	ART_HIERC1	ART_HIERC2	ART_HIERC3	ART_HIERC4	DESC_CODE	ART_PRODT	BARCODE	BOX_NO	PLANT	WAREHOUSE	RACK	BIN	STEXT	DATE TIME
20220000000001	22012420000000001	22012420000000002	YFSM3500	YENYENFS350MLLAVENDER	BOX	1	48.00	48	1296.00000	0200	0204	2111	2318	FBC	FG	111122000000010015	15	PL-001	W1-G1	MARIKINA	MARIKINA		2022-09-27 14:14:07
20220000000004	22092810000000001	22092810000000007	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000130001	1	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-09-28 15:23:03
20220000000004	22092810000000001	22092810000000007	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000130002	2	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-09-28 15:23:03
20220000000004	22092810000000001	22092810000000008	LBT01506	#0272FLOWERTOPasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000140001	1	PL-001	W1-G1	KALENTONG	KALENTONG		2022-09-28 15:23:03
20220000000004	22092810000000001	22092810000000008	LBT01506	#0272FLOWERTOPasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000140002	2	PL-001	W1-G1	KALENTONG	KALENTONG		2022-09-28 15:23:03
20220000000004	22092810000000001	22092810000000009	LCT31505	#056ABSTRACT-asstddesign	BOX	1	1.00	1	199.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000150001	1	PL-001	W1-G1	PASODEBLAS	PASODEBLAS		2022-09-28 15:23:03
20220000000004	22092810000000001	22092810000000009	LCT31505	#056ABSTRACT-asstddesign	BOX	1	1.00	1	199.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000150002	2	PL-001	W1-G1	PASODEBLAS	PASODEBLAS		2022-09-28 15:23:03
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160001	1	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-09-28 15:18:18
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160002	2	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-09-28 15:18:18
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160003	3	PL-001	W1-G1	KALENTONG	KALENTONG		2022-09-28 15:18:18
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160004	4	PL-001	W1-G1	KALENTONG	KALENTONG		2022-09-28 15:18:18
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160005	5	PL-001	W1-G1	LIBERTAD	LIBERTAD		2022-09-28 15:18:18
20220000000003	22092810000000002	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000160006	6	PL-001	W1-G1	LIBERTAD	LIBERTAD		2022-09-28 15:18:18
20220000000007	22092910000000001	22100610000000001	LBF01501	#0193STRIPESLONGDRESSasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000210001	1	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000001	LBF01501	#0193STRIPESLONGDRESSasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000210002	2	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000001	LBF01501	#0193STRIPESLONGDRESSasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000210003	3	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000001	LBF01501	#0193STRIPESLONGDRESSasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000210004	4	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000001	LBF01501	#0193STRIPESLONGDRESSasstdcolor	BOX	1	1.00	1	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000210005	5	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000002	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000220001	1	PL-001	W1-G1	MARIKINA	MARIKINA		2022-10-06 11:09:46
20220000000007	22092910000000001	22100610000000002	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000220002	2	PL-001	W1-G1	MARIKINA	MARIKINA		2022-10-06 11:09:46
20220000000008	22092910000000006	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000270001	1	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-06 11:13:00
20220000000008	22092910000000006	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000270002	2	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-06 11:13:00
20220000000008	22092910000000006	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000270003	3	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-06 11:13:00
20220000000008	22092910000000006	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	111122000000270004	4	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-06 11:13:00
20220000000010	22101110000000001	22101110000000005	KF2KM0367	#00367B6INCHKITCHENKNIFE	BOX	1	72.00	72	3456.00000	0200	0201	0222	1843	KF2	FG	111122000000310001	1	PL-001	W1-G1	MARIKINA	MARIKINA	W1G1	2022-10-11 13:03:06
20220000000010	22101110000000001	22101110000000006	KF2KM0368	#00368B7INCHKITCHENKNIFE	BOX	1	72.00	72	3960.00000	0200	0201	0222	1843	KF2	FG	111122000000320001	1	PL-001	W1-G1	PASODEBLAS	PASODEBLAS	W1G1	2022-10-11 13:03:06
20220000000010	22101110000000001	22101110000000007	KF2KM0370	#00370B6.2INCHKITCHENKNIFE	BOX	1	72.00	72	3600.00000	0200	0201	0222	1843	KF2	FG	111122000000330001	1	PL-001	W1-G1	VALENZUELA	VALENZUELA	W1G1	2022-10-11 13:03:06
20220000000010	22101110000000001	22101110000000008	KF2KM0369	#00369B8INCHKITCHENKNIFE	BOX	1	72.00	72	4176.00000	0200	0201	0222	1843	KF2	FG	111122000000340001	1	PL-001	W1-G1	ANTIPOLO	ANTIPOLO	W1G1	2022-10-11 13:03:06
20220000000001	22101110000000002	22101110000000012	MKG100	ASSORTEDMELAMINETABLEWARE100	KG	1	125.50	126		0100	0101	0102	0104	MKG	FG	111122000000370001	1	PL-001	W1-G1	KALENTONG	KALENTONG	CDMKG3	2022-10-11 14:28:15
20220000000001	22101110000000002	22101110000000012	MKG100	ASSORTEDMELAMINETABLEWARE100	KG	1	102.56	103		0100	0101	0102	0104	MKG	FG	111122000000370002	2	PL-001	W1-G1	ANTIPOLO	ANTIPOLO	CDMKG3	2022-10-11 14:28:15
20220000000001	22101110000000002	22101110000000012	MKG100	ASSORTEDMELAMINETABLEWARE100	KG	1	121.50	122		0100	0101	0102	0104	MKG	FG	111122000000370003	3	PL-001	W1-G1	PASODEBLAS	PASODEBLAS	CDMKG3	2022-10-11 14:28:15
